BUS_SERVICE,OBJECTID_1,BUS_STOP_NUM,BUS_ROOF_NUM,UNIQUE_ID,INC_CRC,FMEL_UPD_D,longitude,latitude
4,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
4,144392,76201,B05,743,A0BBB3372C7BEB12,2.02401E+13,103.9478454957531,1.3568806000666633
4,144065,97331,B05,3415,254BECCD978990C0,2.02401E+13,103.97515121488418,1.355829106383874
4,144444,97311,B03,3591,26250E3F38650741,2.02401E+13,103.9729175800546,1.3525309122980855
4,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
4,144772,98311,B01,487,712CC4001A078523,2.02401E+13,103.96861580288014,1.3592801974433766
4,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
4,142919,97039,B04,5153,32CB8DE973B5D862,2.02401E+13,103.96895183296664,1.3554168044115107
4,142743,76219,B08,4592,B5916C0738AC3477,2.02401E+13,103.95095016674897,1.3564795110261232
4,142745,98309,B02,4595,71E360269F90221D,2.02401E+13,103.9646879008941,1.359941854241525
4,143078,97301,B01,3228,CD0DBCD4B2A24F85,2.02401E+13,103.96999245477241,1.351985795754171
4,143959,76231,B11,4885,AE3D38417DE09743,2.02401E+13,103.9574806026857,1.356755998097581
4,143960,76239,B12,4886,207E83DE8655B5EF,2.02401E+13,103.95764083325784,1.3565378024787818
4,145130,76241,B13,3404,46072A50D01BE11E,2.02401E+13,103.95892865372711,1.3582013830750344
4,145566,76221,B09,4666,127A3A00486DE7E2,2.02401E+13,103.9539874715118,1.3563771920254168
4,145567,76229,B10,4667,76D3B08D0D659A19,2.02401E+13,103.95340194375504,1.3561483660952136
4,145568,76211,B07,4668,4E6C3EF07D0A56A3,2.02401E+13,103.95114869711688,1.3567013956822165
4,145624,76209,B06,4056,10F2696F8BC050FB,2.02401E+13,103.94749598801947,1.3566191229620332
4,146273,97321,B01,3349,3F3744B8067C4DE4,2.02401E+13,103.97444543560617,1.3605724712049234
4,146869,97141,B01,1738,51D326FF3417FF6D,2.02401E+13,103.96794144138194,1.3522347308567195
4,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
